0, pos(meters)  ,       speed(mps)      ,      accel(mps2)      ,       jerk(mps3)      ,       snap(mps4)      ,     time(seconds)
3417, -0.006730 ,       0.006798        ,       -0.105938       ,       0.000000        ,       21.187643       ,       181.099000
3418, -0.005982 ,       0.013596        ,       -0.031673       ,       0.675135        ,       21.187643       ,       181.110000
3419, -0.005235 ,       0.020395        ,       0.042592        ,       1.350271        ,       23.586242       ,       181.121000
3420, -0.004487 ,       0.027193        ,       0.116856        ,       2.025406        ,       26.608008       ,       181.132000
3421, -0.003739 ,       0.033991        ,       0.191121        ,       2.700542        ,       30.252939       ,       181.143000
3422, -0.002991 ,       0.040789        ,       0.265386        ,       3.375677        ,       33.897871       ,       181.154000
3423, -0.002243 ,       0.047587        ,       0.339651        ,       4.050813        ,       37.542802       ,       181.165000
3424, -0.001496 ,       0.055065        ,       0.426894        ,       4.923245        ,       43.774462       ,       181.175000
3425, -0.000748 ,       0.062543        ,       0.507906        ,       5.733361        ,       49.382956       ,       181.185000
3426, 0.000062  ,       0.070021        ,       0.000000        ,       -5.685231       ,       0.000000        ,       181.672000
3427, 0.000187  ,       0.064469        ,       -0.055518       ,       -5.685231       ,       0.000000        ,       181.682000
3428, 0.000374  ,       0.059541        ,       -0.104805       ,       -6.240415       ,       -5.551842       ,       181.692000
3429, 0.000685  ,       0.055858        ,       -0.141629       ,       -5.990634       ,       -3.054028       ,       181.702000
3430, 0.001122  ,       0.053422        ,       -0.165989       ,       -5.616219       ,       0.690118        ,       181.712000
3431, 0.001683  ,       0.052233        ,       -0.177886       ,       -5.117171       ,       5.680596        ,       181.722000
3432, 0.002368  ,       0.052289        ,       -0.177319       ,       -4.493490       ,       11.917405       ,       181.732000
3433, 0.003240  ,       0.054215        ,       -0.158058       ,       -3.682859       ,       20.023713       ,       181.742000
3434, 0.004362  ,       0.057954        ,       -0.120668       ,       -2.690944       ,       29.942867       ,       181.752000
3435, 0.005733  ,       0.064186        ,       -0.058351       ,       -1.387961       ,       42.972701       ,       181.762000
3436, 0.007291  ,       0.072287        ,       0.022661        ,       0.101973        ,       57.872033       ,       181.772000
3437, 0.009098  ,       0.089113        ,       0.246434        ,       3.019522        ,       87.047531       ,       181.782000
3438, 0.011155  ,       0.107808        ,       0.482670        ,       5.874756        ,       121.151705      ,       181.792000
3439, 0.013460  ,       0.127749        ,       0.718907        ,       8.605356        ,       145.959890      ,       181.802000
3440, 0.016078  ,       0.149560        ,       0.961375        ,       11.273639       ,       168.898578      ,       181.812000
3441, 0.018944  ,       0.172617        ,       1.203843        ,       13.817289       ,       189.344602      ,       181.822000
