0, pos(meters)  ,       speed(mps)      ,      accel(mps2)      ,       jerk(mps3)      ,       snap(mps4)      ,     time(seconds)
2153, 0.012900  ,       -0.013030       ,       0.062317        ,       0.000000        ,       -13.709651      ,       83.394000
2154, 0.011466  ,       -0.026060       ,       -0.062368       ,       -1.133497       ,       -13.709651      ,       83.405000
2155, 0.010033  ,       -0.040392       ,       -0.211928       ,       -2.629096       ,       -26.796137      ,       83.415000
2156, 0.008600  ,       -0.054725       ,       -0.361488       ,       -4.124694       ,       -39.882622      ,       83.425000
2157, 0.007166  ,       -0.069058       ,       -0.511048       ,       -5.620292       ,       -53.592273      ,       83.435000
2158, 0.005733  ,       -0.083391       ,       -0.660607       ,       -7.115891       ,       -67.301925      ,       83.445000
2159, 0.004300  ,       -0.097724       ,       -0.810167       ,       -8.611489       ,       -81.011576      ,       83.455000
2160, 0.002867  ,       -0.112057       ,       -0.959727       ,       -10.107087      ,       -94.721227      ,       83.465000
2161, 0.001433  ,       -0.126389       ,       -1.109287       ,       -11.602686      ,       -108.430879     ,       83.475000
2162, 0.000062  ,       -0.140722       ,       0.000000        ,       12.458169       ,       0.000000        ,       83.897000
2163, 0.000125  ,       -0.127069       ,       0.136530        ,       12.458169       ,       0.000000        ,       83.907000
2164, 0.000249  ,       -0.112793       ,       0.279292        ,       13.948102       ,       14.899332       ,       83.917000
2165, 0.000436  ,       -0.096591       ,       0.441315        ,       14.383804       ,       19.256343       ,       83.927000
2166, 0.000748  ,       -0.079142       ,       0.615801        ,       14.825685       ,       23.675157       ,       83.937000
2167, 0.001184  ,       -0.060447       ,       0.802751        ,       15.261901       ,       28.037319       ,       83.947000
2168, 0.001745  ,       -0.040506       ,       1.002164        ,       15.822750       ,       33.645812       ,       83.957000
2169, 0.002430  ,       -0.019318       ,       1.214041        ,       16.508233       ,       40.500638       ,       83.967000
2170, 0.003303  ,       0.003739        ,       1.444612        ,       17.380665       ,       49.224961       ,       83.977000
2171, 0.004424  ,       0.029289        ,       1.700110        ,       18.502364       ,       60.441949       ,       83.987000
2172, 0.005671  ,       0.056085        ,       1.968071        ,       19.748696       ,       72.905268       ,       83.997000
2173, 0.007104  ,       0.069795        ,       1.968638        ,       18.321080       ,       58.629102       ,       84.007000
2174, 0.008724  ,       0.084751        ,       1.975436        ,       16.961445       ,       30.133422       ,       84.017000
2175, 0.010656  ,       0.102199        ,       1.987899        ,       15.465846       ,       10.820427       ,       84.027000
2176, 0.012775  ,       0.120271        ,       1.994131        ,       13.783298       ,       -10.423867      ,       84.037000
2177, 0.015081  ,       0.138966        ,       1.994131        ,       11.913800       ,       -33.481008      ,       84.047000
2178, 0.017636  ,       0.158907        ,       1.994131        ,       9.919669        ,       -59.030813      ,       84.057000
2179, 0.020378  ,       0.179472        ,       1.987899        ,       7.738588        ,       -87.696447      ,       84.067000
2180, 0.023369  ,       0.200659        ,       1.969204        ,       5.245924        ,       -121.347410     ,       84.077000
2181, 0.026485  ,       0.220601        ,       1.913120        ,       2.130095        ,       -163.722696     ,       84.087000
2182, 0.029850  ,       0.241788        ,       1.857035        ,       -1.110368       ,       -208.590645     ,       84.097000
2183, 0.033464  ,       0.263599        ,       1.938046        ,       -0.305918       ,       -186.269973     ,       84.107000
2184, 0.037328  ,       0.286033        ,       2.012826        ,       0.373900        ,       -165.875451     ,       84.117000
2185, 0.041378  ,       0.307221        ,       2.050216        ,       0.623166        ,       -148.426804     ,       84.127000
2186, 0.045616  ,       0.328408        ,       2.081374        ,       0.872432        ,       -129.108659     ,       84.137000
2187, 0.050040  ,       0.349596        ,       2.106301        ,       1.121699        ,       -107.921016     ,       84.147000
2188, 0.054589  ,       0.369537        ,       2.106301        ,       1.121699        ,       -87.979705      ,       84.157000
2189, 0.059388  ,       0.390102        ,       2.106301        ,       1.184015        ,       -65.545730      ,       84.167000
2190, 0.064311  ,       0.404945        ,       2.029358        ,       0.671484        ,       -45.278471      ,       84.178000
2191, 0.069421  ,       0.424886        ,       2.029358        ,       1.232333        ,       -8.511678       ,       84.188000
2192, 0.074655  ,       0.443581        ,       2.004431        ,       1.543916        ,       27.008782       ,       84.198000
2193, 0.080015  ,       0.461030        ,       1.960810        ,       0.297584        ,       6.500956        ,       84.208000
2194, 0.085498  ,       0.477232        ,       1.898493        ,       -1.073381       ,       -14.006869      ,       84.218000
2195, 0.091045  ,       0.492188        ,       1.836177        ,       -2.070447       ,       -26.470189      ,       84.228000
2196, 0.096778  ,       0.507144        ,       1.773860        ,       -3.005196       ,       -38.310342      ,       84.238000
2197, 0.102698  ,       0.522100        ,       1.711543        ,       -3.877628       ,       -49.527330      ,       84.248000
2198, 0.108805  ,       0.537679        ,       1.667922        ,       -4.313844       ,       -53.889491      ,       84.258000
2199, 0.115036  ,       0.552012        ,       1.605605        ,       -4.937010       ,       -60.744317      ,       84.268000
2200, 0.121455  ,       0.571443        ,       1.664986        ,       -3.643718       ,       -43.152019      ,       84.278000
2201, 0.128061  ,       0.586399        ,       1.615133        ,       -4.142251       ,       -53.745841      ,       84.288000
2202, 0.134728  ,       0.600732        ,       1.571511        ,       -4.329201       ,       -58.731169      ,       84.298000
2203, 0.141646  ,       0.616311        ,       1.552816        ,       -4.079935       ,       -43.775185      ,       84.308000
2204, 0.148750  ,       0.632513        ,       1.552816        ,       -3.456769       ,       -23.833874      ,       84.318000
2205, 0.156103  ,       0.650585        ,       1.583975        ,       -2.522020       ,       -4.515729       ,       84.328000
2206, 0.163519  ,       0.667411        ,       1.602670        ,       -1.711904       ,       12.932918       ,       84.338000
2207, 0.171059  ,       0.683613        ,       1.615133        ,       -0.964105       ,       29.135233       ,       84.348000
2208, 0.178786  ,       0.699815        ,       1.621365        ,       -0.465572       ,       38.482723       ,       84.358000
2209, 0.186638  ,       0.716018        ,       1.640060        ,       0.344544        ,       52.815540       ,       84.368000
2210, 0.194615  ,       0.731597        ,       1.601537        ,       -0.634496       ,       30.092221       ,       84.378000
2211, 0.202778  ,       0.747176        ,       1.607768        ,       -0.073647       ,       40.686043       ,       84.388000
2212, 0.211191  ,       0.764625        ,       1.638927        ,       0.674152        ,       50.033532       ,       84.398000
2213, 0.219791  ,       0.781450        ,       1.651390        ,       0.985735        ,       50.656698       ,       84.408000
2214, 0.228453  ,       0.797029        ,       1.645158        ,       0.923419        ,       43.801872       ,       84.418000
2215, 0.237177  ,       0.810739        ,       1.601537        ,       0.175620        ,       26.976391       ,       84.428000
2216, 0.246088  ,       0.825695        ,       1.582842        ,       -0.198280       ,       15.136238       ,       84.438000
2217, 0.255186  ,       0.841274        ,       1.576610        ,       -0.385230       ,       5.788748        ,       84.448000
2218, 0.264409  ,       0.856230        ,       1.564147        ,       -0.572180       ,       -1.066077       ,       84.458000
2219, 0.273757  ,       0.871186        ,       1.551683        ,       -0.883763       ,       -12.283065      ,       84.468000
2220, 0.283167  ,       0.885519        ,       1.539220        ,       -0.623166       ,       0.113303        ,       84.478000
2221, 0.292576  ,       0.897982        ,       1.508062        ,       -0.997066       ,       -9.234187       ,       84.488000
2222, 0.302111  ,       0.909199        ,       1.445745        ,       -1.931815       ,       -26.059668      ,       84.498000
2223, 0.311708  ,       0.919170        ,       1.377197        ,       -2.741930       ,       -37.276655      ,       84.508000
2224, 0.321367  ,       0.929140        ,       1.321112        ,       -3.240463       ,       -41.638817      ,       84.518000
2225, 0.331150  ,       0.939734        ,       1.289954        ,       -3.115830       ,       -32.914493      ,       84.528000
2226, 0.341059  ,       0.949705        ,       1.240100        ,       -3.427413       ,       -32.291328      ,       84.538000
2227, 0.350842  ,       0.956560        ,       1.152857        ,       -4.237529       ,       -38.522987      ,       84.548000
2228, 0.360751  ,       0.963415        ,       1.071845        ,       -4.923011       ,       -43.508315      ,       84.558000
2229, 0.370846  ,       0.970893        ,       0.997066        ,       -5.546177       ,       -46.624145      ,       84.568000
2230, 0.381128  ,       0.979617        ,       0.940981        ,       -5.982393       ,       -53.592273      ,       84.578000
2231, 0.391535  ,       0.989588        ,       0.916054        ,       -5.920077       ,       -49.230112      ,       84.588000
2232, 0.402004  ,       0.998935        ,       0.897359        ,       -5.483861       ,       -35.520460      ,       84.598000
2233, 0.412536  ,       1.008283        ,       0.891127        ,       -4.860695       ,       -21.187643      ,       84.608000
2234, 0.423254  ,       1.018876        ,       0.897359        ,       -4.237529       ,       -9.970656       ,       84.618000
2235, 0.433973  ,       1.028224        ,       0.884896        ,       -4.050579       ,       -9.347490       ,       84.628000
2236, 0.444754  ,       1.036948        ,       0.872432        ,       -3.676679       ,       -2.492664       ,       84.638000
2237, 0.455721  ,       1.048788        ,       0.922286        ,       -2.305714       ,       19.318145       ,       84.648000
2238, 0.466689  ,       1.059382        ,       0.959676        ,       -1.121699       ,       38.013124       ,       84.658000
2239, 0.477719  ,       1.068730        ,       0.978371        ,       -0.186950       ,       53.592273       ,       84.668000
2240, 0.488687  ,       1.075584        ,       0.959676        ,       0.186950        ,       61.693431       ,       84.678000
2241, 0.499717  ,       1.081816        ,       0.922286        ,       0.062317        ,       59.823933       ,       84.688000
2242, 0.510685  ,       1.086801        ,       0.878664        ,       -0.186950       ,       52.969107       ,       84.698000
2243, 0.521590  ,       1.090540        ,       0.822579        ,       -0.685483       ,       41.752120       ,       84.708000
2244, 0.532682  ,       1.094279        ,       0.754031        ,       -1.433282       ,       28.042469       ,       84.718000
2245, 0.543650  ,       1.096772        ,       0.685483        ,       -1.994131       ,       20.564477       ,       84.728000
2246, 0.554680  ,       1.099265        ,       0.623166        ,       -2.492664       ,       11.840153       ,       84.738000
2247, 0.565710  ,       1.099888        ,       0.510996        ,       -4.112895       ,       -18.071813      ,       84.748000
2248, 0.576615  ,       1.099265        ,       0.398826        ,       -5.608494       ,       -44.867950      ,       84.758000
2249, 0.587459  ,       1.097395        ,       0.286656        ,       -6.917142       ,       -67.301925      ,       84.768000
2250, 0.598364  ,       1.096772        ,       0.211876        ,       -7.477992       ,       -76.649414      ,       84.778000
2251, 0.609145  ,       1.094279        ,       0.124633        ,       -7.976524       ,       -80.388410      ,       84.788000
2252, 0.619988  ,       1.093033        ,       0.062317        ,       -8.163474       ,       -79.765244      ,       84.798000
2253, 0.630831  ,       1.092410        ,       0.018695        ,       -8.038841       ,       -73.533584      ,       84.808000
2254, 0.641425  ,       1.087425        ,       -0.068548       ,       -8.225791       ,       -67.925091      ,       84.818000
2255, 0.652081  ,       1.084309        ,       -0.124633       ,       -8.101158       ,       -61.070265      ,       84.828000
2256, 0.662612  ,       1.079323        ,       -0.199413       ,       -8.225791       ,       -57.331269      ,       84.838000
2257, 0.673082  ,       1.073715        ,       -0.261730       ,       -7.727258       ,       -36.143626      ,       84.848000
2258, 0.683551  ,       1.069353        ,       -0.299120       ,       -6.979459       ,       -13.709651      ,       84.858000
2259, 0.694020  ,       1.065614        ,       -0.317815       ,       -6.044710       ,       8.724324        ,       84.868000
2260, 0.704427  ,       1.060628        ,       -0.361436       ,       -5.733127       ,       17.448647       ,       84.878000
2261, 0.714896  ,       1.057513        ,       -0.367668       ,       -4.923011       ,       30.535133       ,       84.888000
2262, 0.725303  ,       1.053150        ,       -0.398826       ,       -4.611428       ,       35.520460       ,       84.898000
2263, 0.735585  ,       1.047542        ,       -0.448679       ,       -4.673745       ,       33.650962       ,       84.908000
2264, 0.745805  ,       1.043803        ,       -0.436216       ,       -3.676679       ,       45.491116       ,       84.918000
2265, 0.756150  ,       1.040687        ,       -0.436216       ,       -3.115830       ,       49.853278       ,       84.928000
2266, 0.766494  ,       1.038818        ,       -0.405058       ,       -2.056448       ,       61.693431       ,       84.938000
2267, 0.776839  ,       1.037571        ,       -0.361436       ,       -0.997066       ,       67.301925       ,       84.948000
2268, 0.787246  ,       1.036948        ,       -0.324046       ,       -0.249266       ,       67.301925       ,       84.958000
2269, 0.797465  ,       1.034456        ,       -0.311583       ,       0.062317        ,       61.070265       ,       84.968000
2270, 0.807685  ,       1.032586        ,       -0.280425       ,       0.810116        ,       65.432427       ,       84.978000
2271, 0.817905  ,       1.030093        ,       -0.274193       ,       0.934749        ,       58.577601       ,       84.988000
2272, 0.828125  ,       1.028224        ,       -0.249266       ,       1.495598        ,       61.070265       ,       84.998000
2273, 0.838407  ,       1.028224        ,       -0.193181       ,       2.554980        ,       72.287252       ,       85.008000
2274, 0.848752  ,       1.029470        ,       -0.143328       ,       2.928880        ,       66.055593       ,       85.018000
2275, 0.858972  ,       1.028224        ,       -0.124633       ,       3.115830        ,       62.316597       ,       85.028000
2276, 0.869192  ,       1.026978        ,       -0.118402       ,       2.866563        ,       49.230112       ,       85.038000
2277, 0.879474  ,       1.026354        ,       -0.112170       ,       2.492664        ,       34.897294       ,       85.048000
2278, 0.889694  ,       1.024485        ,       -0.124633       ,       1.994131        ,       22.433975       ,       85.058000
2279, 0.899976  ,       1.025108        ,       -0.093475       ,       2.181081        ,       21.187643       ,       85.068000
2280, 0.910134  ,       1.024485        ,       -0.081012       ,       1.994131        ,       11.840153       ,       85.078000
2281, 0.920292  ,       1.023862        ,       -0.062317       ,       2.118764        ,       11.840153       ,       85.088000
2282, 0.930449  ,       1.023239        ,       -0.049853       ,       1.994131        ,       4.985328        ,       85.098000
2283, 0.940607  ,       1.021992        ,       -0.062317       ,       1.308649        ,       -12.463319      ,       85.108000
2284, 0.950577  ,       1.018253        ,       -0.112170       ,       0.311583        ,       -26.172971      ,       85.118000
2285, 0.960486  ,       1.015137        ,       -0.130865       ,       -0.062317       ,       -31.781464      ,       85.128000
2286, 0.970269  ,       1.010775        ,       -0.162023       ,       -0.436216       ,       -33.027796      ,       85.138000
2287, 0.979991  ,       1.005167        ,       -0.211876       ,       -0.997066       ,       -34.897294      ,       85.148000
2288, 0.989650  ,       0.990777        ,       -0.323995       ,       -1.891690       ,       -38.044919      ,       85.159000
2289, 0.999247  ,       0.983922        ,       -0.398775       ,       -2.951072       ,       -50.508238      ,       85.169000
2290, 1.008781  ,       0.977691        ,       -0.454860       ,       -3.636555       ,       -55.493566      ,       85.179000
2291, 1.018191  ,       0.970213        ,       -0.523408       ,       -4.508987       ,       -65.464221      ,       85.189000
2292, 1.027414  ,       0.960865        ,       -0.610651       ,       -5.506053       ,       -74.188545      ,       85.199000
2293, 1.036574  ,       0.950895        ,       -0.697894       ,       -6.253852       ,       -74.811711      ,       85.209000
2294, 1.045797  ,       0.943417        ,       -0.735284       ,       -6.129219       ,       -63.594724      ,       85.219000
2295, 1.054958  ,       0.935939        ,       -0.778906       ,       -6.378485       ,       -62.348392      ,       85.229000
2296, 1.064056  ,       0.929084        ,       -0.803833       ,       -6.316169       ,       -57.986230      ,       85.239000
2297, 1.073029  ,       0.921606        ,       -0.822528       ,       -6.004586       ,       -49.261906      ,       85.249000
2298, 1.081878  ,       0.922286        ,       -0.684916       ,       -3.609212       ,       -17.175222      ,       85.259000
2299, 1.090603  ,       0.913561        ,       -0.703611       ,       -3.048363       ,       -0.972907       ,       85.269000
2300, 1.099202  ,       0.904214        ,       -0.734769       ,       -2.799097       ,       8.374583        ,       85.279000
2301, 1.107740  ,       0.895489        ,       -0.747233       ,       -2.238247       ,       22.707400       ,       85.289000
2302, 1.116215  ,       0.888012        ,       -0.728538       ,       -1.178865       ,       43.271877       ,       85.299000
2303, 1.124441  ,       0.878664        ,       -0.722306       ,       -0.244116       ,       60.097358       ,       85.309000
2304, 1.132417  ,       0.866201        ,       -0.772159       ,       -0.368749       ,       57.604694       ,       85.319000
2305, 1.140144  ,       0.851868        ,       -0.840708       ,       -0.618016       ,       57.604694       ,       85.329000
2306, 1.147622  ,       0.835666        ,       -0.934182       ,       -1.303498       ,       50.126703       ,       85.339000
2307, 1.154913  ,       0.818840        ,       -1.027657       ,       -2.051298       ,       39.532881       ,       85.349000
2308, 1.161893  ,       0.800145        ,       -1.221405       ,       -5.364892       ,       -17.556800      ,       85.359000
2309, 1.168623  ,       0.780204        ,       -1.333575       ,       -6.299641       ,       -32.512783      ,       85.369000
2310, 1.175042  ,       0.758393        ,       -1.458208       ,       -7.234390       ,       -44.352937      ,       85.379000
2311, 1.181086  ,       0.733466        ,       -1.620232       ,       -8.729989       ,       -64.917414      ,       85.389000
2312, 1.186820  ,       0.706047        ,       -1.819645       ,       -10.911070      ,       -97.322044      ,       85.399000
2313, 1.192241  ,       0.678005        ,       -2.006594       ,       -12.842884      ,       -125.987679     ,       85.409000
2314, 1.197289  ,       0.648716        ,       -2.174849       ,       -14.026899      ,       -136.581500     ,       85.419000
2315, 1.202025  ,       0.618804        ,       -2.330641       ,       -14.899332      ,       -142.813160     ,       85.429000
2316, 1.206449  ,       0.588269        ,       -2.473969       ,       -15.397865      ,       -140.943662     ,       85.439000
2317, 1.210438  ,       0.555241        ,       -2.635992       ,       -16.083347      ,       -140.320496     ,       85.449000
2318, 1.214177  ,       0.522836        ,       -2.773089       ,       -15.516833      ,       -101.519402     ,       85.459000
2319, 1.217604  ,       0.489808        ,       -2.903953       ,       -15.703782      ,       -94.041410      ,       85.469000
2320, 1.220844  ,       0.458027        ,       -3.003660       ,       -15.454516      ,       -82.201257      ,       85.479000
2321, 1.223836  ,       0.427492        ,       -3.059745       ,       -14.395134      ,       -56.651452      ,       85.489000
2322, 1.226640  ,       0.398203        ,       -3.078440       ,       -12.587953      ,       -16.768830      ,       85.499000
2323, 1.229320  ,       0.370784        ,       -3.072208       ,       -10.656138      ,       21.867460       ,       85.509000
2324, 1.231937  ,       0.346480        ,       -3.022355       ,       -8.475057       ,       55.518423       ,       85.519000
2325, 1.234429  ,       0.324046        ,       -2.947575       ,       -6.169343       ,       87.299887       ,       85.529000
2326, 1.236860  ,       0.304105        ,       -2.841637       ,       -3.676679       ,       117.211854      ,       85.539000
2327, 1.239166  ,       0.287280        ,       -2.679614       ,       -0.436216       ,       156.471310      ,       85.549000
2328, 1.241409  ,       0.272324        ,       -2.505127       ,       2.679614        ,       181.964463      ,       85.559000
2329, 1.243652  ,       0.260483        ,       -2.293251       ,       6.107027        ,       218.108089      ,       85.569000
2330, 1.245771  ,       0.249266        ,       -2.087606       ,       9.160540        ,       246.150558      ,       85.579000
2331, 1.247828  ,       0.239919        ,       -1.875730       ,       11.840153       ,       262.352873      ,       85.589000
2332, 1.249759  ,       0.231195        ,       -1.670085       ,       14.083551       ,       266.715035      ,       85.599000
2333, 1.251567  ,       0.222470        ,       -1.483135       ,       15.890732       ,       265.468703      ,       85.609000
2334, 1.253249  ,       0.213123        ,       -1.333575       ,       16.887798       ,       253.628550      ,       85.619000
2335, 1.254807  ,       0.203775        ,       -1.202710       ,       17.448647       ,       236.179903      ,       85.629000
2336, 1.256240  ,       0.193805        ,       -1.103004       ,       17.386331       ,       210.630098      ,       85.639000
2337, 1.257611  ,       0.184457        ,       -1.028224       ,       16.513898       ,       169.501144      ,       85.649000
2338, 1.258858  ,       0.174486        ,       -0.978371       ,       15.267566       ,       125.879526      ,       85.659000
2339, 1.259917  ,       0.162646        ,       -0.978371       ,       13.148802       ,       70.417755       ,       85.669000
2340, 1.260914  ,       0.151429        ,       -0.978371       ,       11.092354       ,       19.318145       ,       85.679000
2341, 1.261724  ,       0.138966        ,       -1.009529       ,       8.662007        ,       -31.781464      ,       85.689000
2342, 1.262472  ,       0.127126        ,       -1.040687       ,       6.293976        ,       -77.895746      ,       85.699000
2343, 1.263095  ,       0.114719        ,       -1.066232       ,       4.192254        ,       -115.074123     ,       85.710000
2344, 1.263594  ,       0.102879        ,       -1.091158       ,       2.447390        ,       -142.493426     ,       85.720000
2345, 1.264030  ,       0.091662        ,       -1.109853       ,       0.951791        ,       -163.057903     ,       85.730000
2346, 1.264341  ,       0.080445        ,       -1.122317       ,       -0.169908       ,       -173.651725     ,       85.740000
2347, 1.264591  ,       0.069228        ,       -1.141012       ,       -1.104656       ,       -174.274890     ,       85.750000
2348, 1.264778  ,       0.058634        ,       -1.147243       ,       -1.665506       ,       -167.420065     ,       85.760000
2349, 1.264902  ,       0.049287        ,       -1.122317       ,       -1.416239       ,       -143.739758     ,       85.770000
2350, 1.264965  ,       0.039939        ,       -1.103622       ,       -1.229290       ,       -121.305783     ,       85.780000
2351, 1.265027  ,       0.032461        ,       -1.053769       ,       -0.419174       ,       -88.901153      ,       85.790000
2352, 1.265027  ,       0.024983        ,       -1.010147       ,       0.328625        ,       -57.742854      ,       85.800000
2353, 1.265027  ,       0.019318        ,       -0.954010       ,       1.122214        ,       -30.700405      ,       85.810000
2354, 1.265027  ,       0.014333        ,       -0.880930       ,       2.035847        ,       -4.945999       ,       85.821000
2355, 1.265027  ,       0.009971        ,       -0.808416       ,       2.882014        ,       17.702408       ,       85.832000
2356, 1.265027  ,       0.006855        ,       -0.727405       ,       3.816763        ,       38.266885       ,       85.842000
2357, 1.265027  ,       0.004362        ,       -0.640161       ,       4.876145        ,       58.208196       ,       85.852000
2358, 1.265027  ,       0.002493        ,       -0.552918       ,       5.810894        ,       73.164180       ,       85.862000
2359, 1.265027  ,       0.001246        ,       -0.471907       ,       6.371743        ,       76.280009       ,       85.872000
2360, 1.265027  ,       0.000623        ,       -0.384663       ,       7.057226        ,       81.265337       ,       85.882000
2361, 1.265027  ,       0.000000        ,       -0.316115       ,       7.244176        ,       75.033677       ,       85.892000
2362, 1.265027  ,       0.000000        ,       -0.316115       ,       6.807959        ,       63.193524       ,       85.902000
2363, 1.265027  ,       0.000000        ,       -0.316115       ,       6.246595        ,       49.643995       ,       85.912000
2364, 1.265027  ,       0.000000        ,       -0.316115       ,       5.582228        ,       34.694566       ,       85.922000
2365, 1.265027  ,       0.000000        ,       -0.316115       ,       4.923011        ,       20.409973       ,       85.932000
