count,          pos,            speed,          accel,          jerk,           snap,           dt(seconds)
352, 0.182027   ,       -0.972000       ,       0.368360        ,       3.093519        ,       2.705515        ,       6.773000
353, 0.173697   ,       -0.964869       ,       0.391210        ,       3.056591        ,       2.390085        ,       6.783000
354, 0.165534   ,       -0.957252       ,       0.414982        ,       3.023509        ,       2.095171        ,       6.793000
355, 0.157557   ,       -0.949151       ,       0.439447        ,       2.992735        ,       1.810515        ,       6.803000
356, 0.149726   ,       -0.940981       ,       0.461835        ,       2.949652        ,       1.472005        ,       6.813000
357, 0.142103   ,       -0.932187       ,       0.484915        ,       2.903492        ,       1.095028        ,       6.823000
358, 0.134666   ,       -0.922909       ,       0.508688        ,       2.858101        ,       0.707793        ,       6.833000
359, 0.127437   ,       -0.913077       ,       0.533615        ,       2.818864        ,       0.364155        ,       6.843000
360, 0.120437   ,       -0.902691       ,       0.559465        ,       2.784244        ,       0.053854        ,       6.853000
361, 0.113645   ,       -0.891751       ,       0.586468        ,       2.755778        ,       -0.210286       ,       6.863000
362, 0.107060   ,       -0.880257       ,       0.614626        ,       2.731159        ,       -0.466733       ,       6.873000
363, 0.100683   ,       -0.868139       ,       0.644631        ,       2.715003        ,       -0.692407       ,       6.883000
364, 0.094576   ,       -0.855122       ,       0.677404        ,       2.709618        ,       -0.879613       ,       6.893000
365, 0.088697   ,       -0.841413       ,       0.712025        ,       2.711157        ,       -1.043739       ,       6.903000
366, 0.083026   ,       -0.827080       ,       0.748722        ,       2.724235        ,       -1.146318       ,       6.913000
367, 0.077543   ,       -0.812262       ,       0.786574        ,       2.743469        ,       -1.212994       ,       6.923000
368, 0.072246   ,       -0.797099       ,       0.824425        ,       2.761933        ,       -1.279670       ,       6.933000
369, 0.067136   ,       -0.781450       ,       0.863893        ,       2.791937        ,       -1.269412       ,       6.943000
370, 0.062213   ,       -0.765248       ,       0.905668        ,       2.839637        ,       -1.128366       ,       6.953000
371, 0.057477   ,       -0.748769       ,       0.946981        ,       2.881950        ,       -1.036045       ,       6.963000
372, 0.052886   ,       -0.732082       ,       0.988526        ,       2.929649        ,       -0.892435       ,       6.973000
373, 0.048441   ,       -0.715256       ,       1.029147        ,       2.971963        ,       -0.771905       ,       6.983000
374, 0.044162   ,       -0.698154       ,       1.069768        ,       3.013508        ,       -0.659069       ,       6.993000
375, 0.040049   ,       -0.680774       ,       1.110620        ,       3.057360        ,       -0.523152       ,       7.003000
376, 0.036123   ,       -0.663049       ,       1.152165        ,       3.107367        ,       -0.338510       ,       7.013000
377, 0.032363   ,       -0.645115       ,       1.193709        ,       3.160452        ,       -0.115401       ,       7.023000
378, 0.028769   ,       -0.627043       ,       1.234561        ,       3.211228        ,       0.105143        ,       7.033000
379, 0.025342   ,       -0.608764       ,       1.275182        ,       3.258927        ,       0.289785        ,       7.043000
380, 0.022039   ,       -0.590484       ,       1.315111        ,       3.306626        ,       0.484685        ,       7.053000
381, 0.018882   ,       -0.572136       ,       1.355271        ,       3.365096        ,       0.784728        ,       7.063000
382, 0.015849   ,       -0.553925       ,       1.393584        ,       3.417411        ,       1.079641        ,       7.073000
383, 0.012962   ,       -0.535784       ,       1.430281        ,       3.463572        ,       1.356604        ,       7.083000
384, 0.010220   ,       -0.517712       ,       1.465132        ,       3.500500        ,       1.589971        ,       7.093000
385, 0.007623   ,       -0.499779       ,       1.497906        ,       3.528196        ,       1.784870        ,       7.103000
386, 0.005152   ,       -0.481915       ,       1.530219        ,       3.561278        ,       2.038753        ,       7.113000
387, 0.002825   ,       -0.464259       ,       1.559761        ,       3.582820        ,       2.264426        ,       7.123000
